                                              Software Resources List                                                   Page     1
5770SS1 V7R5M0  220415                                                                            PUB400    10/06/23  18:06:59 UTC
                                                      Software Resources List
 Resource                         Feature
    ID       Option    Feature     Type      Library       Release       Description
 5770SS1     12         2942       *LNG      QSYS2942      V7R5M0        Host Servers
 5770SS1     12         2954       *LNG      QSYS2954      V7R5M0        Host Servers
 5770SS1     12         2956       *LNG      QSYS2956      V7R5M0        Host Servers
 5770SS1     12         2957       *LNG      QSYS2957      V7R5M0        Host Servers
 5770SS1     12         2958       *LNG      QSYS2958      V7R5M0        Host Servers
 5770SS1     12         2961       *LNG      QSYS2961      V7R5M0        Host Servers
 5770SS1     12         2962       *LNG      QSYS2962      V7R5M0        Host Servers
 5770SS1     12         2963       *LNG      QSYS2963      V7R5M0        Host Servers
 5770SS1     12         2966       *LNG      QSYS2966      V7R5M0        Host Servers
 5770SS1     12         2972       *LNG      QSYS2972      V7R5M0        Host Servers
 5770SS1     12         2974       *LNG      QSYS2974      V7R5M0        Host Servers
 5770SS1     12         2975       *LNG      QSYS2975      V7R5M0        Host Servers
 5770SS1     12         2976       *LNG      QSYS2976      V7R5M0        Host Servers
 5770SS1     12         2978       *LNG      QSYS2978      V7R5M0        Host Servers
 5770SS1     12         2979       *LNG      QSYS2979      V7R5M0        Host Servers
 5770SS1     12         2980       *LNG      QSYS2980      V7R5M0        Host Servers
 5770SS1     12         2981       *LNG      QSYS2981      V7R5M0        Host Servers
 5770SS1     12         2984       *LNG      QSYS2984      V7R5M0        Host Servers
 5770SS1     12         2986       *LNG      QSYS2986      V7R5M0        Host Servers
 5770SS1     12         2987       *LNG      QSYS2987      V7R5M0        Host Servers
 5770SS1     12         2989       *LNG      QSYS2989      V7R5M0        Host Servers
 5770SS1     12         2992       *LNG      QSYS2992      V7R5M0        Host Servers
 5770SS1     12         2994       *LNG      QSYS2994      V7R5M0        Host Servers
 5770SS1     12         2995       *LNG      QSYS2995      V7R5M0        Host Servers
 5770SS1     12         2996       *LNG      QSYS2996      V7R5M0        Host Servers
 5770SS1     12         2998       *LNG      QSYS2998      V7R5M0        Host Servers
 5770SS1     13         5050       *CODE     QSYSINC       V7R5M0        System Openness Includes
 5770SS1     14         2911       *LNG      QSYS2911      V7R4M0        GDDM
 5770SS1     14         5050       *CODE     QGDDM         V7R5M0        GDDM
 5770SS1     14         2902       *LNG      QSYS2902      V7R5M0        GDDM
 5770SS1     14         2903       *LNG      QSYS2903      V7R5M0        GDDM
 5770SS1     14         2904       *LNG      QSYS2904      V7R5M0        GDDM
 5770SS1     14         2905       *LNG      QSYS2905      V7R5M0        GDDM
 5770SS1     14         2909       *LNG      QSYS2909      V7R5M0        GDDM
 5770SS1     14         2912       *LNG      QSYS2912      V7R5M0        GDDM
 5770SS1     14         2913       *LNG      QSYS2913      V7R5M0        GDDM
 5770SS1     14         2914       *LNG      QSYS2914      V7R5M0        GDDM
 5770SS1     14         2922       *LNG      QSYS2922      V7R5M0        GDDM
 5770SS1     14         2923       *LNG      QSYS2923      V7R5M0        GDDM
 5770SS1     14         2924       *LNG      QGDDM         V7R5M0        GDDM
 5770SS1     14         2925       *LNG      QSYS2925      V7R5M0        GDDM
 5770SS1     14         2926       *LNG      QSYS2926      V7R5M0        GDDM
 5770SS1     14         2928       *LNG      QSYS2928      V7R5M0        GDDM
 5770SS1     14         2929       *LNG      QSYS2929      V7R5M0        GDDM
 5770SS1     14         2930       *LNG      QSYS2930      V7R5M0        GDDM
 5770SS1     14         2931       *LNG      QSYS2931      V7R5M0        GDDM
 5770SS1     14         2932       *LNG      QSYS2932      V7R5M0        GDDM
 5770SS1     14         2933       *LNG      QSYS2933      V7R5M0        GDDM
 5770SS1     14         2937       *LNG      QSYS2937      V7R5M0        GDDM
 5770SS1     14         2938       *LNG      QSYS2938      V7R5M0        GDDM
 5770SS1     14         2939       *LNG      QSYS2939      V7R5M0        GDDM
 5770SS1     14         2940       *LNG      QSYS2940      V7R5M0        GDDM
 5770SS1     14         2942       *LNG      QSYS2942      V7R5M0        GDDM
 5770SS1     14         2954       *LNG      QSYS2954      V7R5M0        GDDM
 5770SS1     14         2956       *LNG      QSYS2956      V7R5M0        GDDM
 5770SS1     14         2957       *LNG      QSYS2957      V7R5M0        GDDM
 5770SS1     14         2958       *LNG      QSYS2958      V7R5M0        GDDM
 5770SS1     14         2961       *LNG      QSYS2961      V7R5M0        GDDM
 5770SS1     14         2962       *LNG      QSYS2962      V7R5M0        GDDM
 5770SS1     14         2963       *LNG      QSYS2963      V7R5M0        GDDM
